id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
561833,Home in New Orleans · ★4.82 · 3 bedrooms · 4 beds · 1.5 baths,2707644,Lindsay,Mid-City,29.97461,-90.09815,Entire home/apt,210,1,79,19-11-2023,0.59,14,130
596455,Home in New Orleans · ★4.93 · 1 bedroom · 1 bed · 1 bath,518748,Rachel,Bywater,29.96491,-90.04403,Entire home/apt,86,30,47,23-07-2023,0.35,1,214
648129,Guest suite in New Orleans · ★4.92 · 1 bedroom · 1 bed · 1 bath,2383859,Brian,City Park,29.98282,-90.09417,Entire home/apt,89,30,117,24-02-2020,0.86,1,178
665259,Rental unit in New Orleans · ★4.71 · 1 bedroom · 1 bed,1451330,Leron And Dennis,St. Roch,29.97581,-90.05337,Private room,89,2,233,29-10-2023,1.71,2,167
665334,Rental unit in New Orleans · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,1451330,Leron And Dennis,St. Roch,29.97673,-90.05316,Private room,89,2,305,23-10-2023,2.23,2,257
684584,Guest suite in New Orleans · ★4.86 · 2 bedrooms · 2 beds · 1 shared bath,2176992,Erin,Mid-City,29.96658,-90.09607,Private room,105,1,998,08-11-2023,7.3,1,0
701364,Rental unit in New Orleans · ★4.83 · 2 bedrooms · 2 beds · 1 bath,2671376,Ruby Dee,St. Roch,29.97036,-90.05007,Entire home/apt,79,3,265,26-11-2023,1.97,4,0
705776,Home in New Orleans · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,2707644,Lindsay,Mid-City,29.97524,-90.10003,Private room,62,30,217,09-03-2020,1.6,14,0
705854,Home in New Orleans · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,2707644,Lindsay,Mid-City,29.9754,-90.09804,Private room,50,1,238,25-10-2023,1.76,14,0
708852,Rental unit in New Orleans · Studio · 1 bed · 1 bath,103427,Jacqueline M,Lower Garden District,29.93396,-90.08066,Entire home/apt,257,30,0,0,0,2,90
718256,Home in New Orleans · ★4.89 · 3 bedrooms · 3 beds · 1 bath,1340014,Susanna,Fillmore,30.00784,-90.08124,Entire home/apt,120,2,369,03-12-2023,2.82,1,288
719226,Rental unit in New Orleans · ★4.70 · 1 bedroom · 1 bed · 1 bath,3710725,Michel,Fairgrounds,29.98078,-90.08057,Entire home/apt,53,30,34,27-10-2016,0.25,1,185
742617,Rental unit in New Orleans · ★4.59 · 3 bedrooms · 4 beds · 2 baths,3888377,Zalia,Marigny,29.96577,-90.05811,Entire home/apt,225,3,273,27-11-2023,2.08,1,0
755827,Home in New Orleans · ★4.84 · 2 bedrooms · 2 beds · 1 bath,3978674,Carmen,Bywater,29.96056,-90.03423,Entire home/apt,119,3,584,19-11-2023,4.33,1,59
760661,Home in New Orleans · ★4.50 · 3 bedrooms · 4 beds · 1.5 baths,2156820,J,Broadmoor,29.94811,-90.09961,Entire home/apt,136,3,171,08-11-2023,1.3,5,74
780112,Rental unit in New Orleans · ★4.94 · 3 bedrooms · 5 beds · 2 baths,3233663,Julie,Bayou St. John,29.97728,-90.08278,Entire home/apt,250,30,97,22-04-2022,0.74,1,89
786938,Home in New Orleans · ★4.82 · 5 bedrooms · 6 beds · 3.5 baths,978875,Gianna,Seventh Ward,29.97478,-90.07634,Entire home/apt,464,3,154,12-11-2023,1.17,1,0
790082,Rental unit in New Orleans · ★4.82 · 2 bedrooms · 2 beds · 1 bath,4163388,N L,Holy Cross,29.95852,-90.02569,Entire home/apt,79,30,99,20-12-2021,0.75,2,171
